GEOID,Income,year
04000US22,27949,1995
04000US23,33858,1995
04000US24,41041,1995
04000US25,38574,1995
04000US26,36426,1995
04000US27,37933,1995
04000US28,26538,1995
04000US29,34825,1995
04000US30,27757,1995
04000US31,32929,1995
04000US32,36084,1995
04000US33,39171,1995
04000US34,43924,1995
04000US35,25991,1995
04000US36,33028,1995
04000US37,31979,1995
04000US38,29089,1995
04000US39,34941,1995
04000US40,26311,1995
04000US41,36374,1995
04000US42,34524,1995
04000US44,35359,1995
04000US45,29071,1995
04000US46,29578,1995
04000US47,29015,1995
04000US48,32039,1995
04000US49,36480,1995
04000US50,33824,1995
04000US51,36222,1995
04000US53,35568,1995
04000US54,24880,1995
04000US55,40955,1995
04000US56,31529,1995
04000US01,18333,1985
04000US02,34782,1985
04000US04,23877,1985
04000US05,17451,1985
04000US06,26981,1985
04000US08,28182,1985
04000US09,31090,1985
04000US10,22980,1985
04000US12,21343,1985
04000US13,21049,1985
04000US15,28961,1985
04000US16,20761,1985
04000US17,24870,1985
04000US18,22675,1985
04000US19,20927,1985
04000US20,22788,1985
04000US21,17361,1985
04000US22,21179,1985
04000US23,20519,1985
04000US24,30136,1985
04000US25,28207,1985
04000US26,24242,1985
04000US27,23856,1985
04000US28,16413,1985
04000US29,21939,1985
04000US30,20236,1985
04000US31,21799,1985
04000US32,23274,1985
04000US33,26403,1985
04000US34,30980,1985
04000US35,20423,1985
04000US36,23639,1985
04000US37,21451,1985
04000US38,21205,1985
04000US39,25174,1985
04000US40,21205,1985
04000US41,21894,1985
04000US42,22877,1985
04000US44,24625,1985
04000US45,20036,1985
04000US46,18142,1985
04000US47,17778,1985
04000US48,23743,1985
04000US49,25238,1985
04000US50,26000,1985
04000US51,28429,1985
04000US53,24000,1985
04000US54,15983,1985
04000US55,23246,1985
04000US56,22081,1985
04000US01,24346,1991
04000US02,40612,1991
04000US04,30737,1991
04000US05,23435,1991
04000US06,33664,1991
04000US08,31499,1991
04000US09,42154,1991
04000US10,32585,1991
04000US12,27252,1991
04000US13,27212,1991
04000US15,37246,1991
04000US16,26116,1991
04000US17,31884,1991
04000US18,27089,1991
04000US19,28553,1991
04000US20,29295,1991
04000US21,23764,1991
04000US22,25299,1991
04000US23,27868,1991
04000US24,36952,1991
04000US25,35714,1991
04000US26,32117,1991
04000US27,29479,1991
04000US28,19475,1991
04000US29,27926,1991
04000US30,24827,1991
04000US31,29549,1991
04000US32,32937,1991
04000US33,36032,1991
04000US34,40049,1991
04000US35,26540,1991
04000US36,31794,1991
04000US37,26853,1991
04000US38,25892,1991
